timestamp,gpu,total_vram,used_vram,free_vram,total_visible_vram,used_visible_vram,free_visible_vram,total_gtt,used_gtt,free_gtt
1758220277,5,262128,96854,165274,262128,96854,165274,1547968,24,1547944
1758220287,5,262128,71684,190444,262128,71684,190444,1547968,24,1547944
1758220297,5,262128,71226,190902,262128,71226,190902,1547968,24,1547944
1758220307,5,262128,71226,190902,262128,71226,190902,1547968,24,1547944
1758220317,5,262128,71226,190902,262128,71226,190902,1547968,24,1547944
1758220327,5,262128,96854,165274,262128,96854,165274,1547968,24,1547944
1758220337,5,262128,96855,165273,262128,96855,165273,1547968,24,1547944
1758220347,5,262128,96855,165273,262128,96855,165273,1547968,24,1547944
1758220357,5,262128,96855,165273,262128,96855,165273,1547968,24,1547944
1758220367,5,262128,92471,169657,262128,92471,169657,1547968,24,1547944
1758220377,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220387,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220397,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220407,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220417,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220427,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220437,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220447,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220457,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
1758220467,5,262128,92363,169765,262128,92363,169765,1547968,24,1547944
1758220477,5,262128,93409,168719,262128,93409,168719,1547968,24,1547944
