timestamp, index, memory.total [MiB], memory.used [MiB], memory.free [MiB]
2025/09/25 11:14:09.393, 1, 143771, 69969, 73198
2025/09/25 11:14:19.394, 1, 143771, 69969, 73198
2025/09/25 11:14:29.398, 1, 143771, 69969, 73198
2025/09/25 11:14:39.411, 1, 143771, 69969, 73198
2025/09/25 11:14:49.490, 1, 143771, 69969, 73198
2025/09/25 11:14:59.533, 1, 143771, 69969, 73198
2025/09/25 11:15:09.539, 1, 143771, 64607, 78560
2025/09/25 11:15:19.548, 1, 143771, 64607, 78560
2025/09/25 11:15:29.594, 1, 143771, 64607, 78560
2025/09/25 11:15:39.636, 1, 143771, 64607, 78560
2025/09/25 11:15:49.639, 1, 143771, 69413, 73754
2025/09/25 11:15:59.641, 1, 143771, 69969, 73198
2025/09/25 11:16:09.643, 1, 143771, 69969, 73198
2025/09/25 11:16:19.645, 1, 143771, 69969, 73198
2025/09/25 11:16:29.686, 1, 143771, 69969, 73198
2025/09/25 11:16:39.692, 1, 143771, 69969, 73198
2025/09/25 11:16:49.696, 1, 143771, 69969, 73198
2025/09/25 11:16:59.750, 1, 143771, 69969, 73198
2025/09/25 11:17:09.804, 1, 143771, 65243, 77924
2025/09/25 11:17:19.809, 1, 143771, 64607, 78560
2025/09/25 11:17:29.810, 1, 143771, 64607, 78560
2025/09/25 11:17:39.811, 1, 143771, 64607, 78560
2025/09/25 11:17:49.816, 1, 143771, 64607, 78560
2025/09/25 11:17:59.821, 1, 143771, 69969, 73198
2025/09/25 11:18:09.910, 1, 143771, 69969, 73198
2025/09/25 11:18:19.933, 1, 143771, 69969, 73198
2025/09/25 11:18:30.000, 1, 143771, 69969, 73198
2025/09/25 11:18:40.058, 1, 143771, 69969, 73198
2025/09/25 11:18:50.064, 1, 143771, 69969, 73198
2025/09/25 11:19:00.103, 1, 143771, 69969, 73198
2025/09/25 11:19:10.171, 1, 143771, 69969, 73198
2025/09/25 11:19:20.226, 1, 143771, 64607, 78560
2025/09/25 11:19:30.284, 1, 143771, 64607, 78560
2025/09/25 11:19:40.286, 1, 143771, 64607, 78560
2025/09/25 11:19:50.332, 1, 143771, 64607, 78560
2025/09/25 11:20:00.333, 1, 143771, 69379, 73788
2025/09/25 11:20:10.333, 1, 143771, 69969, 73198
2025/09/25 11:20:20.335, 1, 143771, 69969, 73198
2025/09/25 11:20:30.335, 1, 143771, 69969, 73198
2025/09/25 11:20:40.433, 1, 143771, 69969, 73198
2025/09/25 11:20:50.433, 1, 143771, 69969, 73198
2025/09/25 11:21:00.434, 1, 143771, 69969, 73198
2025/09/25 11:21:10.452, 1, 143771, 69969, 73198
2025/09/25 11:21:20.487, 1, 143771, 65253, 77914
2025/09/25 11:21:30.621, 1, 143771, 64607, 78560
2025/09/25 11:21:40.625, 1, 143771, 64607, 78560
2025/09/25 11:21:50.646, 1, 143771, 64607, 78560
2025/09/25 11:22:00.648, 1, 143771, 64607, 78560
2025/09/25 11:22:10.649, 1, 143771, 69969, 73198
2025/09/25 11:22:20.711, 1, 143771, 69969, 73198
2025/09/25 11:22:30.712, 1, 143771, 69969, 73198
2025/09/25 11:22:40.739, 1, 143771, 69969, 73198
2025/09/25 11:22:50.760, 1, 143771, 69969, 73198
2025/09/25 11:23:00.762, 1, 143771, 69969, 73198
2025/09/25 11:23:10.822, 1, 143771, 69969, 73198
2025/09/25 11:23:20.823, 1, 143771, 69969, 73198
2025/09/25 11:23:30.824, 1, 143771, 64607, 78560
2025/09/25 11:23:40.909, 1, 143771, 64607, 78560
2025/09/25 11:23:50.913, 1, 143771, 64607, 78560
2025/09/25 11:24:00.915, 1, 143771, 64607, 78560
2025/09/25 11:24:10.916, 1, 143771, 64607, 78560
2025/09/25 11:24:20.921, 1, 143771, 64607, 78560
2025/09/25 11:24:31.004, 1, 143771, 64607, 78560
2025/09/25 11:24:41.040, 1, 143771, 64607, 78560
2025/09/25 11:24:51.042, 1, 143771, 64607, 78560
2025/09/25 11:25:01.051, 1, 143771, 64607, 78560
2025/09/25 11:25:11.084, 1, 143771, 64607, 78560
2025/09/25 11:25:21.142, 1, 143771, 64607, 78560
2025/09/25 11:25:31.142, 1, 143771, 64607, 78560
2025/09/25 11:25:41.267, 1, 143771, 64607, 78560
2025/09/25 11:25:51.275, 1, 143771, 69969, 73198
2025/09/25 11:26:01.276, 1, 143771, 69969, 73198
2025/09/25 11:26:11.287, 1, 143771, 69969, 73198
2025/09/25 11:26:21.300, 1, 143771, 69969, 73198
2025/09/25 11:26:31.324, 1, 143771, 69969, 73198
2025/09/25 11:26:41.358, 1, 143771, 69969, 73198
2025/09/25 11:26:51.360, 1, 143771, 69969, 73198
2025/09/25 11:27:01.363, 1, 143771, 69969, 73198
2025/09/25 11:27:11.371, 1, 143771, 69969, 73198
2025/09/25 11:27:21.405, 1, 143771, 69969, 73198
2025/09/25 11:27:31.411, 1, 143771, 69969, 73198
2025/09/25 11:27:41.436, 1, 143771, 69131, 74036
2025/09/25 11:27:51.440, 1, 143771, 69969, 73198
2025/09/25 11:28:01.493, 1, 143771, 69969, 73198
2025/09/25 11:28:11.496, 1, 143771, 69969, 73198
2025/09/25 11:28:21.604, 1, 143771, 69969, 73198
2025/09/25 11:28:31.609, 1, 143771, 69969, 73198
2025/09/25 11:28:41.637, 1, 143771, 69969, 73198
2025/09/25 11:28:51.640, 1, 143771, 69969, 73198
2025/09/25 11:29:01.673, 1, 143771, 64607, 78560
2025/09/25 11:29:11.681, 1, 143771, 64617, 78550
2025/09/25 11:29:21.685, 1, 143771, 64615, 78552
2025/09/25 11:29:31.703, 1, 143771, 64615, 78552
2025/09/25 11:29:41.771, 1, 143771, 64617, 78550
2025/09/25 11:29:51.831, 1, 143771, 64607, 78560
2025/09/25 11:30:01.887, 1, 143771, 69969, 73198
2025/09/25 11:30:11.935, 1, 143771, 65055, 78112
2025/09/25 11:30:21.944, 1, 143771, 69969, 73198
2025/09/25 11:30:31.945, 1, 143771, 69969, 73198
2025/09/25 11:30:41.946, 1, 143771, 69969, 73198
2025/09/25 11:30:51.950, 1, 143771, 69969, 73198
2025/09/25 11:31:01.958, 1, 143771, 69969, 73198
2025/09/25 11:31:11.960, 1, 143771, 69969, 73198
2025/09/25 11:31:22.002, 1, 143771, 69969, 73198
2025/09/25 11:31:32.074, 1, 143771, 69969, 73198
2025/09/25 11:31:42.147, 1, 143771, 68917, 74250
2025/09/25 11:31:52.148, 1, 143771, 69969, 73198
2025/09/25 11:32:02.154, 1, 143771, 69969, 73198
2025/09/25 11:32:12.174, 1, 143771, 69969, 73198
2025/09/25 11:32:22.196, 1, 143771, 69969, 73198
2025/09/25 11:32:32.206, 1, 143771, 69969, 73198
2025/09/25 11:32:42.251, 1, 143771, 69969, 73198
2025/09/25 11:32:52.255, 1, 143771, 69969, 73198
2025/09/25 11:33:02.258, 1, 143771, 69969, 73198
2025/09/25 11:33:12.378, 1, 143771, 69449, 73718
2025/09/25 11:33:22.386, 1, 143771, 69969, 73198
2025/09/25 11:33:32.388, 1, 143771, 69969, 73198
2025/09/25 11:33:42.415, 1, 143771, 69969, 73198
2025/09/25 11:33:52.420, 1, 143771, 69969, 73198
2025/09/25 11:34:02.482, 1, 143771, 69969, 73198
2025/09/25 11:34:12.485, 1, 143771, 69969, 73198
2025/09/25 11:34:22.492, 1, 143771, 69969, 73198
2025/09/25 11:34:32.495, 1, 143771, 69969, 73198
2025/09/25 11:34:42.539, 1, 143771, 69969, 73198
2025/09/25 11:34:52.631, 1, 143771, 69969, 73198
2025/09/25 11:35:02.633, 1, 143771, 69969, 73198
2025/09/25 11:35:12.681, 1, 143771, 69969, 73198
2025/09/25 11:35:22.681, 1, 143771, 69969, 73198
2025/09/25 11:35:32.752, 1, 143771, 69969, 73198
2025/09/25 11:35:42.752, 1, 143771, 69969, 73198
2025/09/25 11:35:52.778, 1, 143771, 69969, 73198
2025/09/25 11:36:02.809, 1, 143771, 64607, 78560
2025/09/25 11:36:12.818, 1, 143771, 64607, 78560
2025/09/25 11:36:22.842, 1, 143771, 64607, 78560
2025/09/25 11:36:32.861, 1, 143771, 64607, 78560
2025/09/25 11:36:42.885, 1, 143771, 64607, 78560
2025/09/25 11:36:52.974, 1, 143771, 64607, 78560
2025/09/25 11:37:03.035, 1, 143771, 69969, 73198
2025/09/25 11:37:13.036, 1, 143771, 69969, 73198
2025/09/25 11:37:23.095, 1, 143771, 69969, 73198
2025/09/25 11:37:33.175, 1, 143771, 69969, 73198
2025/09/25 11:37:43.176, 1, 143771, 69969, 73198
2025/09/25 11:37:53.204, 1, 143771, 69969, 73198
2025/09/25 11:38:03.207, 1, 143771, 69969, 73198
2025/09/25 11:38:13.243, 1, 143771, 69969, 73198
2025/09/25 11:38:23.244, 1, 143771, 68851, 74316
2025/09/25 11:38:33.274, 1, 143771, 69969, 73198
2025/09/25 11:38:43.334, 1, 143771, 69969, 73198
2025/09/25 11:38:53.375, 1, 143771, 69969, 73198
2025/09/25 11:39:03.380, 1, 143771, 69969, 73198
2025/09/25 11:39:13.385, 1, 143771, 69969, 73198
2025/09/25 11:39:23.519, 1, 143771, 69969, 73198
2025/09/25 11:39:33.579, 1, 143771, 69969, 73198
2025/09/25 11:39:43.603, 1, 143771, 69969, 73198
2025/09/25 11:39:53.665, 1, 143771, 69179, 73988
2025/09/25 11:40:03.694, 1, 143771, 69969, 73198
2025/09/25 11:40:13.719, 1, 143771, 69969, 73198
2025/09/25 11:40:23.752, 1, 143771, 69969, 73198
2025/09/25 11:40:33.784, 1, 143771, 69969, 73198
2025/09/25 11:40:43.852, 1, 143771, 69969, 73198
2025/09/25 11:40:53.853, 1, 143771, 69969, 73198
2025/09/25 11:41:03.868, 1, 143771, 69969, 73198
2025/09/25 11:41:13.871, 1, 143771, 69969, 73198
2025/09/25 11:41:23.875, 1, 143771, 69969, 73198
2025/09/25 11:41:33.928, 1, 143771, 69969, 73198
2025/09/25 11:41:43.953, 1, 143771, 69969, 73198
2025/09/25 11:41:53.954, 1, 143771, 69969, 73198
2025/09/25 11:42:03.955, 1, 143771, 69969, 73198
2025/09/25 11:42:14.014, 1, 143771, 65679, 77488
2025/09/25 11:42:24.054, 1, 143771, 64617, 78550
2025/09/25 11:42:34.055, 1, 143771, 64615, 78552
2025/09/25 11:42:44.058, 1, 143771, 64615, 78552
2025/09/25 11:42:54.061, 1, 143771, 64617, 78550
2025/09/25 11:43:04.063, 1, 143771, 64617, 78550
2025/09/25 11:43:14.064, 1, 143771, 69265, 73902
2025/09/25 11:43:24.164, 1, 143771, 69969, 73198
2025/09/25 11:43:34.207, 1, 143771, 69969, 73198
2025/09/25 11:43:44.210, 1, 143771, 64607, 78560
2025/09/25 11:43:54.211, 1, 143771, 64607, 78560
2025/09/25 11:44:04.343, 1, 143771, 64607, 78560
2025/09/25 11:44:14.416, 1, 143771, 64607, 78560
2025/09/25 11:44:24.418, 1, 143771, 68855, 74312
2025/09/25 11:44:34.440, 1, 143771, 69969, 73198
2025/09/25 11:44:44.467, 1, 143771, 69969, 73198
2025/09/25 11:44:54.596, 1, 143771, 69969, 73198
2025/09/25 11:45:04.599, 1, 143771, 69969, 73198
2025/09/25 11:45:14.602, 1, 143771, 69969, 73198
2025/09/25 11:45:24.656, 1, 143771, 69969, 73198
2025/09/25 11:45:34.663, 1, 143771, 69969, 73198
2025/09/25 11:45:44.665, 1, 143771, 69969, 73198
2025/09/25 11:45:54.666, 1, 143771, 69347, 73820
2025/09/25 11:46:04.667, 1, 143771, 69969, 73198
2025/09/25 11:46:14.723, 1, 143771, 69969, 73198
2025/09/25 11:46:24.728, 1, 143771, 69969, 73198
2025/09/25 11:46:34.729, 1, 143771, 69969, 73198
2025/09/25 11:46:44.734, 1, 143771, 69969, 73198
2025/09/25 11:46:54.734, 1, 143771, 69969, 73198
2025/09/25 11:47:04.782, 1, 143771, 69969, 73198
2025/09/25 11:47:14.817, 1, 143771, 69969, 73198
2025/09/25 11:47:24.827, 1, 143771, 69969, 73198
2025/09/25 11:47:34.866, 1, 143771, 69969, 73198
2025/09/25 11:47:44.935, 1, 143771, 69969, 73198
2025/09/25 11:47:54.938, 1, 143771, 69969, 73198
2025/09/25 11:48:04.946, 1, 143771, 69969, 73198
2025/09/25 11:48:14.968, 1, 143771, 69969, 73198
2025/09/25 11:48:24.990, 1, 143771, 69969, 73198
2025/09/25 11:48:35.074, 1, 143771, 69969, 73198
2025/09/25 11:48:45.093, 1, 143771, 68961, 74206
2025/09/25 11:48:55.094, 1, 143771, 69969, 73198
2025/09/25 11:49:05.095, 1, 143771, 69969, 73198
2025/09/25 11:49:15.110, 1, 143771, 69969, 73198
2025/09/25 11:49:25.151, 1, 143771, 69969, 73198
